title,company,location,url,post_date,scraped_at,source,description,industry,skills
Data Analyst,Manpower (Philippines),"Parañaque, National Capital Region, Philippines",https://ph.linkedin.com/jobs/view/data-analyst-at-manpower-philippines-4316445450,,2025-10-21T02:46:02.675495,authenticated,,,
Data Analyst,Eklipse.gg,"South Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-eklipse-gg-4317073149,,2025-10-21T02:46:02.675495,authenticated,,,
Virtual Data Analyst / Entry Level (Remote),EMK CONSULTORIA,"California, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-entry-level-remote-at-emk-consultoria-4317300038,,2025-10-21T02:46:02.677504,authenticated,,,
Healthcare Data Analyst,Zelis,"New Jersey, United States",https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-zelis-4306851272,2025-10-19,2025-10-21T02:46:02.679514,authenticated,,,
Data Analytics Analyst,U.S. Bank,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analytics-analyst-at-u-s-bank-4316849982,2025-10-19,2025-10-21T02:46:02.679514,authenticated,,,
Reporting & Visualization Consultant,Infosys,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/reporting-visualization-consultant-at-infosys-4316400990,2025-10-19,2025-10-21T02:46:02.681524,authenticated,,,
"Analyst, Audience Analytics",Condé Nast México & Latinoamérica,"Mexico City, Mexico",https://mx.linkedin.com/jobs/view/analyst-audience-analytics-at-cond%C3%A9-nast-m%C3%A9xico-latinoam%C3%A9rica-4314902714,,2025-10-21T02:46:02.683534,authenticated,,,
Virtual Data Analyst / Entry Level (Remote),EMK CONSULTORIA,"New York, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-entry-level-remote-at-emk-consultoria-4317079949,,2025-10-21T02:46:02.687556,authenticated,,,
Data Analytics Analyst,U.S. Bank,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analytics-analyst-at-u-s-bank-4316871060,2025-10-19,2025-10-21T02:46:07.437242,authenticated,,,
Data Analyst,Wiraa,United States,https://www.linkedin.com/jobs/view/data-analyst-at-wiraa-4317084244,,2025-10-21T02:46:07.437242,authenticated,,,
Business Data Analyst | 100% Remote,UST España & Latam,Spain,https://es.linkedin.com/jobs/view/business-data-analyst-100%25-remote-at-ust-espa%C3%B1a-latam-4314258226,,2025-10-21T02:46:07.439752,authenticated,,,
Data Analyst,McKenna & Co.,United States,https://www.linkedin.com/jobs/view/data-analyst-at-mckenna-co-4317347931,,2025-10-21T02:46:07.441761,authenticated,,,
Virtual Data Analyst / Entry Level (Remote),EMK CONSULTORIA,"Florida, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-entry-level-remote-at-emk-consultoria-4317092743,,2025-10-21T02:46:07.443771,authenticated,,,
Entry-Level Data Analyst (United Kingdom),Ukonnect Staffing,United Kingdom,https://uk.linkedin.com/jobs/view/entry-level-data-analyst-united-kingdom-at-ukonnect-staffing-4316459593,,2025-10-21T02:46:07.447534,authenticated,,,
Business Intelligence Analyst,Kforce Inc,"Redmond, WA",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-kforce-inc-4317383448,,2025-10-21T02:46:07.449549,authenticated,,,
Data Analyst,LG Electronics Philippines,"Pasig, National Capital Region, Philippines",https://ph.linkedin.com/jobs/view/data-analyst-at-lg-electronics-philippines-4314334722,,2025-10-21T02:46:07.451563,authenticated,,,
Business Intelligence Analyst,Orion Innovation,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-intelligence-analyst-at-orion-innovation-4317344657,,2025-10-21T02:46:07.451563,authenticated,,,
Data Analyst (Remote),Powersoft LLC,"United, PA",https://www.linkedin.com/jobs/view/data-analyst-remote-at-powersoft-llc-4317363222,,2025-10-21T02:46:07.453966,authenticated,,,
Data Analyst,EStreet,India,https://in.linkedin.com/jobs/view/data-analyst-at-estreet-4316421264,2025-10-19,2025-10-21T02:46:12.139816,authenticated,,,
Senior Data Analyst,Coface,"Bucharest, Romania",https://ro.linkedin.com/jobs/view/senior-data-analyst-at-coface-4317320006,,2025-10-21T02:46:12.141827,authenticated,,,
Data Analyst,McKenna & Co.,United States,https://www.linkedin.com/jobs/view/data-analyst-at-mckenna-co-4317354369,,2025-10-21T02:46:12.144840,authenticated,,,
Data Analyst,Paracon,"City of Johannesburg, Gauteng, South Africa",https://za.linkedin.com/jobs/view/data-analyst-at-paracon-4314368618,,2025-10-21T02:46:12.146998,authenticated,,,
Virtual Data Analyst / Entry Level (Remote),EMK CONSULTORIA,"Illinois, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-entry-level-remote-at-emk-consultoria-4317086821,,2025-10-21T02:46:12.150257,authenticated,,,
Data Analyst,PrimeIT,"Lisbon, Portugal",https://pt.linkedin.com/jobs/view/data-analyst-at-primeit-4314364330,,2025-10-21T02:46:12.153417,authenticated,,,
Marketing Data Analyst,Match Digital,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/marketing-data-analyst-at-match-digital-4314382258,,2025-10-21T02:46:12.155425,authenticated,,,
Learning Performance Executive,EPF Malaysia,"Kota Damansara, Selangor, Malaysia",https://my.linkedin.com/jobs/view/learning-performance-executive-at-epf-malaysia-4316620255,,2025-10-21T02:46:12.157435,authenticated,,,
Data Analyst,Inclusively,"Houston, TX",https://www.linkedin.com/jobs/view/data-analyst-at-inclusively-4317346245,,2025-10-21T02:46:12.157435,authenticated,,,
"Analytics Engineer, Go-To-Market Data",LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/analytics-engineer-go-to-market-data-at-linkedin-4317363358,,2025-10-21T02:46:12.157435,authenticated,,,
